year,Leaf Mean,Leaf 9-yr normal curve,Bloom Mean,Bloom 9-yr normal curve
1900,3.817582418,4.111794838,1.591208791,2.402882392
1901,6.044345898,3.863036946,3.086474501,2.40331256
1902,2.717573222,3.458499802,3.248953975,2.355315045
1903,-0.417794971,3.250132198,-0.361702128,2.326410353
1904,7.751811594,3.144465494,5.202898551,2.282434307
1905,1.84283247,2.599073873,1.063903282,2.108998588
1906,3.403141361,1.504248529,1.984293194,1.694854264
1907,-4.244027304,0.542674551,1.546075085,1.110749211
1908,1.85451505,-0.009563898,-0.419732441,0.217119116
1909,2.788375559,-0.455816709,4.350223547,-1.016699476
1910,-5.797101449,-0.483693783,-10.92898551,-1.615115367
1911,-3.605413105,0.558035782,-2.465811966,-0.75435996
1912,9.879334258,2.128759991,7.425797503,0.82465998
1913,1.676712329,3.084732936,1.123287671,1.699164142
1914,2.112840467,3.199448542,1.459143969,1.707161958
1915,5.845663265,3.000694494,0.428571429,1.785897417
1916,-1.087173101,2.722011998,0.506849315,2.24652156
1917,7.1001221,2.252934901,8.421245421,2.569912554
1918,-2.101234568,1.751005863,-1.609876543,2.501618863
1919,1.770935961,1.188387682,2.153940887,2.058181238
1920,5.307106599,0.67218026,7.883248731,1.312891478
1921,-8.749394673,0.693470975,-8.089588378,0.693810046
1922,5.045243619,1.589942515,1.787703016,0.887284478
1923,3.259860789,2.586456796,2.708816705,1.484258686
1924,8.830080367,2.431052095,8.182548794,1.213440671
1925,-5.41599073,1.397916244,-7.44032445,0.242195736
1926,3.059350504,0.480392147,1.077267637,-0.338039753
1927,-1.966304348,0.163762756,-1.302173913,-0.166013538
1928,0.322510823,0.089885311,1.866883117,0.022623677
1929,3.417465389,-0.239545091,2.072417465,-0.301440067
1930,-4.4217119,-0.843481391,-5.107515658,-0.857444415
1931,-0.23107178,-1.401800764,0.825958702,-1.166278211
1932,-2.792507205,-1.657779855,-2.889529299,-1.141221675
1933,0.077140169,-1.705659411,1.931326435,-1.053666572
1934,-4.502343018,-1.322968869,-5.007497657,-0.805840415
1935,-1.761152416,-0.328608694,1.359665428,-0.343699463
1936,4.234432234,0.658485563,0.812271062,-0.093095547
1937,4.426040744,0.886061034,2.938883968,-0.471552041
1938,-5.279931094,0.884542362,-6.260981912,-0.880450377
1939,-0.407014682,1.617172586,-2.269983687,-0.526881915
1940,8.568396226,2.681276704,4.983490566,0.275588108
1941,2.987401575,2.910794633,-0.196850394,0.681275059
1942,2.417876241,2.218300292,0.521772345,0.549830565
1943,-2.029208301,1.361644813,-1.055342045,0.212006787
1944,5.858113208,0.505048377,4.180377358,-0.494108632
1945,-3.006074412,-0.125505886,-3.701594533,-1.279326255
1946,-5.943368107,0.188824485,-8.020864382,-1.214105269
1947,5.393103448,1.430292396,5.204597701,-0.227256691
1948,5.685734463,2.409758644,1.860875706,0.729686097
1949,1.303959132,2.389613504,-1.453384419,1.14133798
1950,0.496363636,1.849952827,3.057575758,1.218926401
1951,3.122724604,1.132285547,2.364063417,0.971083561
1952,1.495145631,0.195725871,-1.145059966,0.407821779
1953,-3.797109505,-0.420291105,0.721511951,-0.070076855
1954,-3.587458746,0.143792843,-2.627062706,0.027244609
1955,4.168810289,1.737271575,0.139335477,0.727757137
1956,5.298687664,3.360440882,5.020997375,1.662297187
1957,2.798575788,4.35044409,-1.107833164,2.483852311
1958,7.674784373,4.746932993,6.491121258,3.101299005
1959,2.309796121,4.756555474,1.346096469,3.514375423
