Year,National Interagency Fire Center,Forest Service Wildfire Statistics
1983,1323666,5080553
1984,1148409,2266276
1985,2896147,4434768
1986,2719162,3309398
1987,2447296,4152524
1988,5009290,7398846
1989,1827310,3261702
1990,4621621,5452818
1991,2953578,2237714
1992,2069929,2457665
1993,1797574,2310420
1994,4073579,4724014
1995,1840546,2315730
1996,6065998,6701390
1997,2856959,3672616
1998,1329704,
1999,5626093,
2000,7393493,
2001,3570911,
2002,7184712,
2003,3960842,
2004,8097880,
2005,8689389,
2006,9873745,
2007,9328045,
2008,5292468,
2009,5921786,
2010,3422724,
2011,8711367,
2012,9326238,
2013,4319546,
2014,3595613,
2015,10125149,
2016,5509995,
2017,10026086,
2018,8767492,
2019,4664364,
2020,10122336,
2021,7125643,
2022,7577183,
