"Figure 3. Damage Caused by Wildfires in the United States, 1984-2021",,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,
"Data source: MTBS, 2024",,,,,
Web update: June 2024,,,,,
Units: acres,,,,,
,,,,,
Year,Low,Moderate,High,Unburned,Increased greenness
1984,711517.381,165303.1949,58694.6691,277213.6138,16309.32574
1985,1568280.833,702452.1224,247654.8929,541103.3302,60753.82294
1986,987523.3908,415182.0363,107691.3663,283267.6462,20180.99754
1987,1092490.42,421079.9475,201225.9666,532639.4273,35363.89341
1988,1608268.093,877753.5223,819879.7125,1024000.815,252230.4444
1989,836317.8049,234073.0175,142001.3306,217759.0215,7593.894275
1990,945165.6244,579664.5942,464195.4131,365839.7375,224350.8046
1991,875286.9411,417018.7953,157884.9926,342562.7813,71042.9203
1992,668200.2032,205778.6114,110842.7012,313789.1143,13384.38878
1993,657085.7986,341604.7044,113911.3053,223843.2996,23931.68655
1994,1336230.497,709298.3253,370841.3975,691702.0006,37818.68767
1995,658099.0295,312745.1929,64177.59153,197470.3849,6420.761483
1996,2471947.135,1109685.322,352752.4682,871746.1928,24526.81515
1997,308032.2014,96326.32271,29375.2451,127662.2007,23783.57159
1998,867085.4641,228466.2212,120345.6328,296354.6931,28456.30961
1999,2512574.225,1077772.997,440199.6769,900275.8927,53582.25647
2000,2612716.176,1246627.393,839605.6902,1412897.115,69484.82204
2001,1211279.289,528657.4477,224364.3707,530536.0169,16996.5258
2002,1923555.037,1603890.695,1111011.908,1019392.572,172945.7937
2003,1155777.543,787845.7371,635284.2099,749563.1338,89736.76354
2004,1911788.348,2001069.869,734911.984,1177343.615,1114651.622
2005,2795213.383,2066900.077,1559040.995,1455243.762,876246.13
2006,3596274.934,1751958.068,636276.0909,1423822.262,72508.9471
2007,2882533.16,1678553.981,1185020.908,1656593.603,143812.0694
2008,1772242.701,798868.9598,296170.5501,756043.9419,15080.59424
2009,1408486.136,921464.7837,578122.7308,516777.7824,41525.3425
2010,1134233.932,411757.1557,207297.1234,297822.9438,112460.4013
2011,4608988.766,1480142.199,411397.5433,1084386.13,71711.66159
2012,3812837.471,1530226.407,680169.0489,1250943.632,49549.5708
2013,1363011.951,948714.1565,669574.381,473138.5769,134060.2779
2014,1469241.294,576968.2792,367597.3239,378906.324,44654.43793
2015,2991384.76,2299623.38,1972690.731,1157741.512,525882.6272
2016,2352618.737,778266.0793,377997.8411,586318.8703,56551.89479
2017,5175922.145,1557907.893,824142.7993,1224119.255,67491.94186
2018,3957293.374,1827183.345,688837.555,855146.6418,23473.10839
2019,2053493.004,1183998.559,316859.7199,508646.5822,103082.0108
2020,4476422.092,2252327.559,1602474.93,1247573.683,40062.20684
2021,3143221.947,1449090.764,1005343.445,1106932.519,29433.95734
