Latitude,Longitude,Change in first leaf date
30.88,-87.79,2.075
34.69,-86.88,6.55
30.55,-87.88,6.73015873
34.23,-87.64,-1.053571429
32.47,-87.23,2.873015873
34.29,-85.97,4.125
34.67,-86.05,1
34.57,-85.61,0.875
34.31,-112.17,-5.15
32.75,-109.12,-5.975
34.11,-109.86,-10.25
34.61,-111.84,-3.158730159
34.8,-109.89,-5.194444444
34.57,-112.43,-12.15
33.43,-111.92,-4.083333333
34.93,-112.81,-14.5
35.24,-112.19,-12.9047619
35.52,-111.37,-5.157142857
34.8,-92.84,7.714285714
35.83,-91.79,4.888888889
35.23,-93.17,3.458333333
34.05,-94.35,4.175
34.98,-91.5,-4.966666667
35.99,-92.72,7.625
36.43,-94.45,-9.066666667
33.71,-93.56,1.975
35.85,-90.66,8.128571429
34.6,-91.99,6.325
36.42,-92.92,9
34.39,-92.84,7.825
34.74,-90.77,-1.325
33.93,-93.85,-2.725
35.6,-91.27,7.375
34.96,-93.16,-4.625
34.23,-92.02,4.75
36.26,-90.97,8.583333333
33.82,-93.39,5.714285714
35.27,-91.72,5.571428571
34.47,-91.42,-5.475
35.25,-90.8,1.263888889
39.39,-120.09,-16.025
34.19,-118.35,-3.071428571
38.28,-120.31,-12.38888889
39.09,-120.95,-4.791666667
32.99,-116.59,-18.3
38.54,-121.78,-4.075
39.56,-120.82,-20.175
38.27,-122.07,-5.611111111
41.87,-120.16,-6.333333333
37,-119.71,-4.85
38.43,-122.86,-6.05
36.32,-119.64,-1.944444444
33.7,-115.63,-1.114285714
33.24,-116.76,-1.638888889
37.96,-119.78,-20.125
34.15,-115.12,-3.033333333
36.21,-121.14,-2.347222222
36.38,-119.03,-3.225
36.2,-119.05,-4.166666667
37.68,-121.75,-4.971428571
34.65,-120.45,-3.95
37.06,-120.87,-4.8
36.59,-121.86,-3.75
37.34,-121.63,-24.5
38.28,-122.26,-4.125
39.25,-121,-23.58571429
34.45,-119.23,-0.65
39.75,-122.2,-9.15
34.15,-118.14,-5.171428571
35.63,-120.69,-2.85
39.81,-120.47,-5.333333333
33.74,-117.87,-4.833333333
40.48,-124.1,-4.675
40.71,-122.42,-9.1
38.3,-122.46,-5
39.59,-122.53,-5.25
39.53,-121.16,-13.47619048
39.17,-120.14,-11.375
34.13,-116.04,-4.825
34.07,-118.44,-3.347222222
34.53,-117.29,-7
36.33,-119.3,-1.7
38.53,-121.98,-5
38.68,-121.79,-4.542857143
34.18,-118.57,-5.585714286
41.7,-122.64,-11.725
39.41,-105.48,1.771428571
39.99,-105.27,3.728571429
38.82,-106.13,-11.125
39.22,-105.28,-10.05714286
38.44,-107.56,-9.875
39.37,-106.19,-5.214285714
38.44,-106.76,-6.015873016
38.87,-106.98,0.222222222
37.69,-106.31,-7.527777778
39.62,-106.03,0.2
40.58,-105.09,-13.225
40.27,-105.83,-6.025
40.19,-105.87,-2.766666667
37.73,-105.51,-8.025
38.53,-106.97,-5.875
40.49,-107.25,-9.208333333
37.75,-107.1,-13.44285714
38.05,-102.13,2.05
40.55,-102.34,-3.414285714
39.49,-105.1,3.25
38.09,-102.63,-0.933333333
38.06,-103.22,-1.2
37.2,-108.49,-6.9
38.49,-107.88,-11.96666667
39.11,-108.35,-5
38.04,-103.69,0.357142857
40.49,-106.82,-4.925
38.82,-106.61,-2.775
37.95,-107.87,-1.675
37.38,-107.58,-9.85
40.74,-106.28,-0.025
37.63,-104.8,1.975
40.43,-105.21,-4.4
38.13,-105.47,-16.04166667
40.12,-102.72,-6.611111111
41.97,-73.22,-6.2
39.15,-75.51,-9.433333333
39.77,-75.54,-9
30.78,-85.55,3.7
27.44,-80.35,-3.333333333
28.8,-82.31,3.652777778
30.29,-81.39,-2.5
30.11,-83.18,2.7
27.94,-81.6,-3.675
28.02,-82.14,-3.875
28.15,-82.75,-1.95
34.85,-83.94,-4.225
32.38,-81.67,0.722222222
33.6,-85.08,0.125
34.06,-85.23,0.888888889
34.89,-83.4,8
34.52,-83.53,5.45
32.2,-83.21,3.642857143
34.3,-83.86,1.633333333
34.35,-82.93,5.675
34.48,-84.45,4.888888889
33.01,-82.39,2.928571429
31.18,-83.75,0.957142857
34.24,-85.16,4.414285714
31.45,-83.48,4.157142857
42.95,-112.83,1.041666667
48.69,-116.31,-5.305555556
44.57,-116.68,-8.031746032
44.24,-112.2,-14.7
43.85,-116.47,-0.666666667
43.03,-112.43,-1.985714286
42.56,-111.76,-2.785714286
43.97,-112.26,-6.492063492
47.53,-116.13,-0.4
42.12,-111.31,-0.725
44.89,-116.1,-12.5
42.68,-113.5,-11.5
46.73,-116.96,-5.225
42.23,-113.89,-6.2
44.08,-116.93,-10.92857143
46.96,-116.86,-4.125
48.35,-116.84,-6.65
43.05,-114.16,-6.5
43.95,-111.68,-4.166666667
47.32,-116.58,-7.5
43.24,-116.38,2.775
47.48,-115.93,-12.78571429
41.2,-90.74,-4.328571429
41.78,-88.31,-5.15
37.73,-89.17,1.833333333
39.48,-88.17,-11.125
41.74,-87.78,-11.525
40.14,-87.65,-4.416666667
41.84,-89.51,-2.1
37.99,-89.19,-2.75
38.38,-88.33,-4.166666667
41.9,-90.15,-4.625
40.95,-90.39,-5.225
39.16,-89.49,-7.222222222
40.47,-87.69,-8.3
39.73,-90.2,-0.875
40.58,-90.97,-6.6
40.15,-89.34,-7.968253968
40.91,-89.03,-7.325
40.94,-90.64,-6.075
41.79,-89.97,-1.575
42.1,-89.98,-3.75
38.36,-88.86,0
41.33,-88.91,-1.885714286
39.62,-87.67,-1.814285714
42.4,-89.99,-6.65
39.79,-88.29,-2.25
40.08,-88.24,-4.371428571
41.56,-89.6,-3.666666667
39.44,-90.38,1.425
39.45,-88.6,-4.138888889
41.66,-85.02,-8.425
40.67,-84.93,-3.314285714
39.42,-85.01,-8.619047619
39.17,-85.92,-6.571428571
40.3,-86.51,-9.698412698
41.56,-85.88,-7.125
39.79,-85.76,-3.111111111
41.61,-86.73,-4.95
39.4,-86.45,-1.166666667
39.89,-85.4,-3.475
38.89,-86.55,0.6
38.36,-87.59,1.063492063
41.07,-86.21,-8.75
39.76,-87.23,-4.933333333
39.6,-85.45,-5.433333333
38.55,-86.79,-10.3
39.28,-86.77,-0.142857143
37.95,-86.77,0.375
40,-86.35,-7.285714286
41.03,-86.59,-4.775
42.75,-92.8,-3.4
41.42,-95,-8.625
41.88,-92.28,-4.7
42.26,-90.42,-3.95
42.04,-93.89,-3.471428571
42.07,-94.85,-6.5
42.3,-91.01,-3.6
42.05,-91.59,-12.84722222
41.02,-93.28,-3.930555556
43.06,-92.67,-4.9
42.76,-95.54,-3.9
40.72,-95.02,-6.75
41.79,-90.26,-8.985714286
43.3,-91.8,-8.457142857
42.04,-95.33,-6.225
42.54,-90.65,-4.6
42.78,-91.45,-1.875
41.02,-91.96,-8.428571429
42.88,-91.83,-5.571428571
43.28,-93.63,-1.625
42.58,-94.2,-3.625
41.29,-94.45,-9.25
42.36,-92.76,-5.375
41.67,-94.5,-4.325
42.79,-91.1,-7.75
42.76,-93.2,-5.25
41.37,-93.65,-6.566666667
41.61,-91.51,-2.958333333
42.52,-93.25,-4.475
40.75,-91.96,-4.085714286
41.57,-90.4,-4.15
42.78,-96.15,-5.625
42.16,-95.78,-8.875
42.08,-90.66,-2.111111111
42.06,-92.92,-6
43.16,-93.2,-2.471428571
43.38,-95.18,-8.357142857
40.95,-91.56,-4.833333333
41.41,-91.07,-3.933333333
43.05,-92.31,-3.055555556
41.71,-93.03,-1.805555556
43.28,-92.83,-3.6
42.73,-94.66,-3.075
41,-95.24,-8.342857143
43.43,-96.17,-4.375
42.4,-94.63,-6.825
42.42,-94.98,-2.325
43.18,-95.66,-2.2
40.77,-95.37,-4.652777778
43.4,-95.75,-1.2
41.34,-92.23,-3.75
43.17,-95.15,-8.069444444
42.65,-95.19,-6.388888889
42.04,-92.58,-3.525
42.15,-92.01,-1.80952381
41.28,-91.71,-2.675
42.47,-93.8,-1.805555556
41.67,-92,-0.571428571
38.93,-97.21,-14.725
37.19,-99.76,3.142857143
39.8,-101.04,-3.7
39.82,-97.64,-4.791666667
38.8,-99.72,-8.722222222
37.81,-100.35,-6
39.37,-97.13,-3.45
37.27,-99.33,-11.28571429
37.17,-94.83,-0.966666667
38.37,-96.55,-0.85
37.01,-101.89,2.625
38.37,-98.82,-0.6
38.86,-99.34,-9.95
38.6,-100.62,-4.6
38.67,-96.95,-4.214285714
37.47,-96.27,4.866666667
38.1,-98.66,-2.527777778
37.16,-101.34,2.275
37.24,-95.7,0.825
37.65,-98.13,-2
37.94,-101.25,-0.375
37.03,-100.91,5.125
39.03,-98.13,-3.925
39.2,-96.58,-8
39.84,-96.64,-12.3
37.29,-100.35,4.603174603
39.12,-97.7,-5.85
37.19,-95.45,4.174603175
38.02,-97.36,-1.675
39.74,-99.84,-4.555555556
38.61,-95.28,3.275
37.37,-95.29,3.885714286
39.07,-100.24,-6.321428571
39.77,-101.81,0.8
38.47,-100.92,-0.875
37.13,-96.18,0.333333333
38.21,-98.21,-5.125
37.99,-101.74,-0.875
38.47,-101.77,-3.75
39.83,-95.09,-5.65
