Latitude,Longitude,Change in first bloom date
30.88,-87.79,3.05
34.69,-86.88,5.45
30.55,-87.88,8.920634921
34.23,-87.64,-6.928571429
32.47,-87.23,3.285714286
34.29,-85.97,1.6
34.67,-86.05,-1.7
34.57,-85.61,-10.375
34.31,-112.17,-9.325
32.75,-109.12,-9.825
34.11,-109.86,-12.625
34.61,-111.84,-7.412698413
34.8,-109.89,-8.055555556
34.57,-112.43,-11.825
33.43,-111.92,-11.04166667
34.93,-112.81,-13.41666667
35.24,-112.19,-9.26984127
35.52,-111.37,-8.885714286
34.8,-92.84,5.984126984
35.83,-91.79,-0.111111111
35.23,-93.17,0.541666667
34.05,-94.35,2.85
34.98,-91.5,-10.2
35.99,-92.72,-0.1
36.43,-94.45,-15.53333333
33.71,-93.56,1.15
35.85,-90.66,5.928571429
34.6,-91.99,3.425
36.42,-92.92,4.625
34.39,-92.84,5.475
34.74,-90.77,-2.75
33.93,-93.85,-5.575
35.6,-91.27,5.375
34.96,-93.16,-7.541666667
34.23,-92.02,6.525
36.26,-90.97,3.416666667
33.82,-93.39,4.063492063
35.27,-91.72,-1.128571429
34.47,-91.42,-8
35.25,-90.8,-2.75
39.39,-120.09,-13.775
34.19,-118.35,-3.528571429
38.28,-120.31,-8.111111111
39.09,-120.95,-6.013888889
32.99,-116.59,-17
38.54,-121.78,-9.05
39.56,-120.82,-15.625
38.27,-122.07,-10.59722222
41.87,-120.16,-3.766666667
37,-119.71,-11.6
38.43,-122.86,-12.95
36.32,-119.64,-8.388888889
33.7,-115.63,-2.242857143
33.24,-116.76,-7.041666667
37.96,-119.78,-17.375
34.15,-115.12,-3.966666667
36.21,-121.14,-6.583333333
36.38,-119.03,-7.25
36.2,-119.05,-8.944444444
37.68,-121.75,-12.74285714
34.65,-120.45,-8.475
37.06,-120.87,-10.85
36.59,-121.86,-6.625
37.34,-121.63,-33.5
38.28,-122.26,-8.275
39.25,-121,-20.91428571
34.45,-119.23,1.35
39.75,-122.2,-15.225
34.15,-118.14,-6.814285714
35.63,-120.69,-4.4
39.81,-120.47,-8.9
33.74,-117.87,-10.69444444
40.48,-124.1,-11.075
40.71,-122.42,-14
38.3,-122.46,-9.25
39.59,-122.53,-4.575
39.53,-121.16,-7.634920635
39.17,-120.14,-9.1
34.13,-116.04,-9.475
34.07,-118.44,-6.305555556
34.53,-117.29,-13.05714286
36.33,-119.3,-4.366666667
38.53,-121.98,-10.825
38.68,-121.79,-8.257142857
34.18,-118.57,-11.04285714
41.7,-122.64,-10.35
39.41,-105.48,5.414285714
39.99,-105.27,-2.085714286
38.82,-106.13,-5.305555556
39.22,-105.28,-5.385714286
38.44,-107.56,-4.625
39.37,-106.19,-9.946428571
38.44,-106.76,-2.46031746
38.87,-106.98,1.305555556
37.69,-106.31,-3.958333333
39.62,-106.03,0.05
40.58,-105.09,-14.675
40.27,-105.83,-6.65
40.19,-105.87,-5
37.73,-105.51,-3.275
38.53,-106.97,-2.3
40.49,-107.25,-6.569444444
37.75,-107.1,-10.24285714
38.05,-102.13,-0.4
40.55,-102.34,-1.528571429
39.49,-105.1,1.725
38.09,-102.63,-3.7
38.06,-103.22,-5.525
37.2,-108.49,-5.75
38.49,-107.88,-12.66666667
39.11,-108.35,-5.642857143
38.04,-103.69,-7.214285714
40.49,-106.82,-1.15
38.82,-106.61,-3.375
37.95,-107.87,1.125
37.38,-107.58,-6.5
40.74,-106.28,2.5
37.63,-104.8,-3.375
40.43,-105.21,-3.075
38.13,-105.47,-8.152777778
40.12,-102.72,-6.611111111
41.97,-73.22,-2.375
39.15,-75.51,-7.033333333
39.77,-75.54,-5.533333333
30.78,-85.55,4.866666667
27.44,-80.35,-3.555555556
28.8,-82.31,5.25
30.29,-81.39,-5.7
30.11,-83.18,5.6
27.94,-81.6,-5.4
28.02,-82.14,-3.95
28.15,-82.75,-2.625
34.85,-83.94,-9.025
32.38,-81.67,2.833333333
33.6,-85.08,-3.875
34.06,-85.23,-3.793650794
34.89,-83.4,0.375
34.52,-83.53,-1.225
32.2,-83.21,3.285714286
34.3,-83.86,0.433333333
34.35,-82.93,2.625
34.48,-84.45,-1.031746032
33.01,-82.39,2.642857143
31.18,-83.75,1.542857143
34.24,-85.16,3.457142857
31.45,-83.48,4.885714286
42.95,-112.83,3.791666667
48.69,-116.31,-3.388888889
44.57,-116.68,-7.380952381
44.24,-112.2,-14.725
43.85,-116.47,-0.055555556
43.03,-112.43,0.714285714
42.56,-111.76,-3.542857143
43.97,-112.26,-4.682539683
47.53,-116.13,-0.5
42.12,-111.31,2.75
44.89,-116.1,-12.75
42.68,-113.5,-5.925
46.73,-116.96,-2.875
42.23,-113.89,-7.933333333
44.08,-116.93,-11.37142857
46.96,-116.86,-1.625
48.35,-116.84,-7.625
43.05,-114.16,-2.025
43.95,-111.68,-2.433333333
47.32,-116.58,-6.133333333
43.24,-116.38,-0.225
47.48,-115.93,-13.85714286
41.2,-90.74,1.271428571
41.78,-88.31,0.425
37.73,-89.17,0.533333333
39.48,-88.17,-9.5
41.74,-87.78,-4.325
40.14,-87.65,-7.458333333
41.84,-89.51,3.333333333
37.99,-89.19,-5.25
38.38,-88.33,-6.013888889
41.9,-90.15,-0.075
40.95,-90.39,0.65
39.16,-89.49,-6.222222222
40.47,-87.69,-3.028571429
39.73,-90.2,-0.475
40.58,-90.97,-1.125
40.15,-89.34,-2.412698413
40.91,-89.03,-1.5
40.94,-90.64,0.5
41.79,-89.97,4.875
42.1,-89.98,1.975
38.36,-88.86,-2.263888889
41.33,-88.91,1.285714286
39.62,-87.67,0.871428571
42.4,-89.99,-0.075
39.79,-88.29,-0.125
40.08,-88.24,-1.514285714
41.56,-89.6,1.833333333
39.44,-90.38,1.15
39.45,-88.6,-0.861111111
41.66,-85.02,-0.05
40.67,-84.93,0.942857143
39.42,-85.01,-8.19047619
39.17,-85.92,-7.814285714
40.3,-86.51,-5.857142857
41.56,-85.88,-1.15
39.79,-85.76,0.73015873
41.61,-86.73,0.9
39.4,-86.45,-0.222222222
39.89,-85.4,-0.6
38.89,-86.55,2.214285714
38.36,-87.59,-1.46031746
41.07,-86.21,-0.65
39.76,-87.23,-2.366666667
39.6,-85.45,-3.033333333
38.55,-86.79,-10.5
39.28,-86.77,-1.303571429
37.95,-86.77,-3.25
40,-86.35,-3.971428571
41.03,-86.59,1.75
42.75,-92.8,2.425
41.42,-95,-5.5
41.88,-92.28,-1.366666667
42.26,-90.42,1.65
42.04,-93.89,1.928571429
42.07,-94.85,-1.652777778
42.3,-91.01,2.057142857
42.05,-91.59,-5.541666667
41.02,-93.28,1.763888889
43.06,-92.67,1.625
42.76,-95.54,2.325
40.72,-95.02,-2.35
41.79,-90.26,-4.8
43.3,-91.8,-4.642857143
42.04,-95.33,-0.2
42.54,-90.65,1.05
42.78,-91.45,4.375
41.02,-91.96,1.085714286
42.88,-91.83,1.257142857
43.28,-93.63,1.888888889
42.58,-94.2,1.975
41.29,-94.45,-3.25
42.36,-92.76,0.275
41.67,-94.5,0.475
42.79,-91.1,-1.85
42.76,-93.2,0.225
41.37,-93.65,-0.633333333
41.61,-91.51,1.527777778
42.52,-93.25,1.35
40.75,-91.96,0.557142857
41.57,-90.4,-0.15
42.78,-96.15,0.65
42.16,-95.78,0.625
42.08,-90.66,2.888888889
42.06,-92.92,1.375
43.16,-93.2,0.8
43.38,-95.18,-1.457142857
40.95,-91.56,2.666666667
41.41,-91.07,-0.3
43.05,-92.31,1.319444444
41.71,-93.03,2.208333333
43.28,-92.83,1.142857143
42.73,-94.66,2.325
41,-95.24,-2.585714286
43.43,-96.17,0.95
42.4,-94.63,-1.025
42.42,-94.98,3.625
43.18,-95.66,2.375
40.77,-95.37,-1.486111111
43.4,-95.75,3.475
41.34,-92.23,1.916666667
43.17,-95.15,-2.5
42.65,-95.19,-2.388888889
42.04,-92.58,2.45
42.15,-92.01,5.349206349
41.28,-91.71,2.475
42.47,-93.8,4.027777778
41.67,-92,3.589285714
38.93,-97.21,-17.55
37.19,-99.76,-3.079365079
39.8,-101.04,-3.2
39.82,-97.64,-2.555555556
38.8,-99.72,-9
37.81,-100.35,-8.875
39.37,-97.13,-1.675
37.27,-99.33,-18
37.17,-94.83,-3.466666667
38.37,-96.55,-1.7
37.01,-101.89,-5.625
38.37,-98.82,0.833333333
38.86,-99.34,-9.875
38.6,-100.62,-7.725
38.67,-96.95,-1.342857143
37.47,-96.27,3.266666667
38.1,-98.66,-6.708333333
37.16,-101.34,-6.375
37.24,-95.7,-3.625
37.65,-98.13,-2.142857143
37.94,-101.25,-7.625
37.03,-100.91,-1.475
39.03,-98.13,-1.7
39.2,-96.58,-5.075
39.84,-96.64,-7.866666667
37.29,-100.35,-2.317460317
39.12,-97.7,-4.35
37.19,-95.45,3.142857143
38.02,-97.36,-5.45
39.74,-99.84,-6.888888889
38.61,-95.28,2.55
37.37,-95.29,2.971428571
39.07,-100.24,-9.517857143
39.77,-101.81,-0.366666667
38.47,-100.92,-2.575
37.13,-96.18,-2.366666667
38.21,-98.21,-4
37.99,-101.74,-2.225
38.47,-101.77,-4.925
39.83,-95.09,-1.15
37.6,-101.29,1.277777778
39.01,-99.87,-7.125
39.21,-96.37,-1.9
39.81,-97.06,0.5
37.27,-97.42,-0.714285714
37.29,-96.94,-0.785714286
38.12,-83.53,1.525
37.76,-87.65,0.8
37.35,-87.52,-6.819444444
36.61,-88.3,-0.3
36.75,-86.23,2.3
31.32,-92.46,1.174603175
30.2,-91.13,0.7
30.07,-91.03,4.575
30.42,-92.04,0.728571429
32.81,-93.06,14.36666667
29.96,-91.71,0.027777778
30.2,-92.66,6.157142857
31.14,-93.24,2.9
30.73,-91.37,-3.5
44.4,-68.99,2.275
44.92,-69.24,-3.175
44.69,-70.16,0.925
44.22,-69.79,-1.875
44.8,-69.89,2.958333333
45.15,-67.4,-5.301587302
39.03,-76.93,-10.025
39.64,-77.7,-5.9
38.94,-77.11,-2.333333333
38.91,-76.97,-4.652777778
39.41,-79.4,-4.871428571
38.72,-76.19,-7.45
39.51,-79.14,-2.75
38.23,-75.38,-12.55555556
42.39,-72.54,1.875
42.21,-71.11,-2.3
41.39,-70.52,-12.83333333
42.76,-71.06,5.625
42.59,-71.02,2.888888889
41.79,-70.92,-4.138888889
41.92,-84.02,-0.066666667
42.3,-83.66,-2.291666667
46.59,-89.55,4.698412698
42.38,-85.96,7.26984127
45.65,-84.47,6.375
41.96,-84.99,2.15
44.28,-83.5,3.625
45.03,-84.71,7.277777778
44.65,-84.7,5.825
43.2,-85.24,1.847222222
43.83,-82.64,5.085714286
42.64,-85.29,4.958333333
44.31,-84.89,4.055555556
45.79,-88.08,2.375
46.47,-90.19,7.444444444
44.31,-85.21,4.575
45.95,-86.25,4
43.46,-86.42,2.1
45.41,-84.22,3.285714286
45.37,-84.98,7.75
42.98,-82.42,0.301587302
46.06,-88.63,8.25
44.01,-83.9,4.6
41.93,-85.64,6.527777778
45.17,-84.44,4.972222222
44.25,-84.2,1.763888889
43.61,-93.3,-0.097222222
45.39,-96.13,-1.349206349
43.65,-92.97,1.725
44.72,-96.27,2.7
45.58,-94.39,1.375
47.82,-96.61,5.566666667
43.7,-92.56,3.225
47.24,-93.5,1
47.23,-95.19,3.514285714
44.65,-93.64,1.7
47.25,-94.22,3.133333333
45.13,-94.53,4.625
45.96,-94.89,6.8
44.47,-95.79,0.6
45.12,-95.93,-4.225
45.59,-95.87,2.125
46.67,-94.11,1.525
44.01,-96.33,-2.05
47.88,-96.28,3.791666667
44.72,-93.1,-0.557142857
44.24,-95.63,3.375
44.07,-93.53,0.75
45.81,-96.5,3.142857143
43.88,-95.12,-0.771428571
43.76,-94.17,-1.275
44.3,-92.67,2.833333333
31.25,-89.34,3.933333333
34.37,-89.53,5.333333333
39.89,-94.36,-1.142857143
38.19,-94.02,-4.042857143
40.14,-91.52,-3.361111111
39.36,-93.49,-1.075
39.16,-90.78,-9.833333333
37.79,-90.41,-2.722222222
39.72,-91.37,-4.575
37.38,-89.67,2.814285714
38.58,-92.18,-1.361111111
38.2,-92.62,-14.85
37.6,-94.28,-8.033333333
37.55,-91.88,-8.95
37.39,-93.95,-0.725
37.32,-92.98,-2.1
37.15,-92.26,2.888888889
36.87,-94.36,-4.85
37.84,-94.37,-0.763888889
39.42,-92.81,-1.65
39.64,-91.25,-4.984126984
